Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreateProjectNegativeTestSuite,Firefox 89.0,Create Project Negative Test Suite,,2021-07-23 21:41:27,2021-07-23 21:51:21,9m - 53.384s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-24-CreateProjectWithoutFillingNameFieldTestCase,Firefox 89.0,"Create a project without filling the name field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:41:28,2021-07-23 21:42:37,1m - 9.633s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:41:28,2021-07-23 21:42:06,38.069s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:42:06,2021-07-23 21:42:10,3.989s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:42:10,2021-07-23 21:42:11,0.983s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:42:11,2021-07-23 21:42:12,0.639s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:42:12,2021-07-23 21:42:16,3.807s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), DomainText1)",Firefox 89.0,,,2021-07-23 21:42:16,2021-07-23 21:42:25,9.203s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-23 21:42:25,2021-07-23 21:42:26,0.750s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:42:26,2021-07-23 21:42:27,0.826s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:42:27,2021-07-23 21:42:27,0.034s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_project_name""))",Firefox 89.0,,,2021-07-23 21:42:27,2021-07-23 21:42:27,0.415s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:42:27,2021-07-23 21:42:34,7.050s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:42:34,2021-07-23 21:42:37,3.274s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-25-CreateProjectWithoutFillingDomainFieldTestCase,Firefox 89.0,"Create a project without filling the domain field.
Expected: Cannot proceed to 2nd page of the setup with relevant error message displayed below the Domain field.",create project,2021-07-23 21:42:37,2021-07-23 21:43:36,58.429s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:42:38,2021-07-23 21:43:07,29.481s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:43:07,2021-07-23 21:43:08,1.183s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:43:08,2021-07-23 21:43:09,0.695s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:43:09,2021-07-23 21:43:10,0.663s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:43:10,2021-07-23 21:43:12,2.252s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), ProjectNameText)",Firefox 89.0,,,2021-07-23 21:43:12,2021-07-23 21:43:20,8.166s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), """")",Firefox 89.0,,,2021-07-23 21:43:20,2021-07-23 21:43:21,0.962s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-23 21:43:21,2021-07-23 21:43:22,0.772s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:43:22,2021-07-23 21:43:23,0.812s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:43:23,2021-07-23 21:43:23,0.018s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""))",Firefox 89.0,,,2021-07-23 21:43:23,2021-07-23 21:43:23,0.411s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:43:23,2021-07-23 21:43:30,7.013s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:43:30,2021-07-23 21:43:36,5.539s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-26-CreateProjectWithoutEnteringAnyKeywordsTestCase,Firefox 89.0,"Create a project without entering any keywords.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:43:36,2021-07-23 21:44:41,1m - 4.928s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:43:36,2021-07-23 21:44:01,25.283s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:44:01,2021-07-23 21:44:15,13.704s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:44:15,2021-07-23 21:44:16,0.668s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:44:16,2021-07-23 21:44:16,0.651s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/button_next""), Timeout)",Firefox 89.0,,,2021-07-23 21:44:16,2021-07-23 21:44:20,3.170s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:44:20,2021-07-23 21:44:30,9.955s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:44:30,2021-07-23 21:44:30,0.021s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""))",Firefox 89.0,,,2021-07-23 21:44:30,2021-07-23 21:44:30,0.393s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:44:30,2021-07-23 21:44:37,7.022s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:44:37,2021-07-23 21:44:41,3.669s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-27-CreateProjectAndClickAddCompetitorButDoNotFillFieldTestCase,Firefox 89.0,"Create a project, click add competitor but do not fill the field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:44:41,2021-07-23 21:45:47,1m - 6.331s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:44:41,2021-07-23 21:45:06,25.155s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:45:06,2021-07-23 21:45:10,3.632s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:45:10,2021-07-23 21:45:10,0.620s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:45:10,2021-07-23 21:45:11,0.605s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:45:11,2021-07-23 21:45:13,2.402s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), ProjectNameText)",Firefox 89.0,,,2021-07-23 21:45:13,2021-07-23 21:45:33,19.586s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), DomainText1)",Firefox 89.0,,,2021-07-23 21:45:33,2021-07-23 21:45:34,0.981s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_add_competitor""))",Firefox 89.0,,,2021-07-23 21:45:34,2021-07-23 21:45:35,0.868s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-23 21:45:35,2021-07-23 21:45:36,0.755s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:45:36,2021-07-23 21:45:36,0.794s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:45:36,2021-07-23 21:45:36,0.019s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_domain_competitors""))",Firefox 89.0,,,2021-07-23 21:45:36,2021-07-23 21:45:38,1.139s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:45:38,2021-07-23 21:45:45,7.009s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:45:45,2021-07-23 21:45:47,2.350s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-28-CreateProjectWithoutAnyEnginesOrDevicesSelectedTestCase,Firefox 89.0,"Create a project without any engines/devices selected.
Expected: Cannot proceed to 3rd page of the setup",create project,2021-07-23 21:45:47,2021-07-23 21:46:56,1m - 9.055s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:45:47,2021-07-23 21:46:13,26.043s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:46:13,2021-07-23 21:46:32,18.285s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:46:32,2021-07-23 21:46:34,2.150s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:46:34,2021-07-23 21:46:34,0.617s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/popup_window_creating_project""), Timeout)",Firefox 89.0,,,2021-07-23 21:46:34,2021-07-23 21:46:37,2.497s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:46:37,2021-07-23 21:46:47,10.176s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), Timeout)",Firefox 89.0,,,2021-07-23 21:46:47,2021-07-23 21:46:48,0.445s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), ""politik"")",Firefox 89.0,,,2021-07-23 21:46:48,2021-07-23 21:46:48,0.732s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_keyword_suggestions""), ""partai"")",Firefox 89.0,,,2021-07-23 21:46:48,2021-07-23 21:46:49,0.806s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:46:49,2021-07-23 21:46:50,0.807s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 21:46:50,2021-07-23 21:46:53,3.017s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:46:53,2021-07-23 21:46:56,3.073s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-29-CreateProjectWithNameFieldWithLessThan2CharactersTestCase,Firefox 89.0,"create a project with name field with less than 2 characters.
Expected: Cannot proceed to 2nd page of the setup.",create project,2021-07-23 21:46:56,2021-07-23 21:47:48,51.804s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:46:56,2021-07-23 21:47:19,22.863s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:47:19,2021-07-23 21:47:29,9.218s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:47:29,2021-07-23 21:47:29,0.625s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:47:29,2021-07-23 21:47:30,0.614s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:47:30,2021-07-23 21:47:33,2.886s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), ""S"")",Firefox 89.0,,,2021-07-23 21:47:33,2021-07-23 21:47:41,8.348s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:47:41,2021-07-23 21:47:42,0.975s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), ""politik"")",Firefox 89.0,,,2021-07-23 21:47:42,2021-07-23 21:47:43,0.774s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_keyword_suggestions""), ""partai"")",Firefox 89.0,,,2021-07-23 21:47:43,2021-07-23 21:47:44,0.821s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:44,0.833s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:44,0.036s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_project_name""))",Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:45,0.401s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 21:47:45,2021-07-23 21:47:48,3.007s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-30-CreateProjectUsingInvalidDomainFormatInDomainFieldTestCase,Firefox 89.0,"create a project using invalid domain format in the domain field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:47:48,2021-07-23 21:48:46,57.950s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:47:48,2021-07-23 21:48:18,29.653s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:48:18,2021-07-23 21:48:22,3.846s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:22,2021-07-23 21:48:23,0.640s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:48:23,2021-07-23 21:48:23,0.629s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/popup_window_creating_project""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:23,2021-07-23 21:48:26,2.819s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:48:26,2021-07-23 21:48:35,8.854s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:35,2021-07-23 21:48:37,1.661s,PASSED
